Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
Which of these could be something we use to help us protect our datas confidentiality?,multiple-choice,Hashes.,Multifactor authentication.,Redundant hardware.,Redundant software,,,2,"To ensure confidentiality we can use strong passwords, multi factor authentication, masking, access control, need-to-know, least privilege and many other factors.",CBK 1: Security and Risk Management
"Healthcare insurers, providers and clearing house agencies must comply with HIPAA (Health Insurance Portability and Accountability Act) if they operate in the United States. Which of these are rules they MUST follow? (Select all that apply).",multi-select,Breach notification rule.,Encryption rule.,Disclosure rule.,Security rule.,Privacy rule.,,"1,4,5","Puts strict privacy and security rules on how PHI (Personal Health Information is handled by health insurers, providers and clearing house agencies (Claims)). HIPAA has 3 rules – Privacy rule, Security rule and Breach Notification rule. The rules mandate Administrative, Physical and Technical safeguards. Security Breach Notification Laws. NOT Federal, 48 states have individual laws, know the one for your state (none in Alabama and South Dakota). They normally require organizations to inform anyone who had their PII compromised. Many have an encryption clause. Lost encrypted data may not require disclosure.",CBK 1: Security and Risk Management
"When an attacker is attacking our encryption, they are MOSTLY targeting which leg of the CIA triad?",multiple-choice,Authentication.,Confidentiality.,Availability.,Integrity.,,,2,"To ensure confidentiality we use encryption for data at rest (for instance AES256), full disk encryption. Secure transport protocols for data in motion. (SSL, TLS or IPSEC). There are many attacks against encryption, it is almost always easier to steal the key than breaking it, this is done with cryptanalysis.",CBK 1: Security and Risk Management
"During a security breach, one of our honeypots was used for a downstream attack on a rival business. The competitor lost over $200,000 in revenue from the attack. Who is ULTIMATELY liable?",multiple-choice,The IT security team.,Middle management.,Whomever deployed the honeypot.,Senior management.,,,4,"C-Level executives (senior leadership) are ultimately liable, this does not mean anyone else is not liable, if other people involved did not perform due care and due diligence they may be liable as well, but the questions was ultimately liable.",CBK 1: Security and Risk Management
Senior management is looking at the ISO27799 standard. What is it focused around?,multiple-choice,ITSM.,Protecting PHI.,Risk management.,PCI-DSS.,,,2,ISO 27799: Directives on how to protect PHI (Personal Health Information).,CBK 1: Security and Risk Management
We are working on our risk management and we are doing quantitative risk analysis. What does the ALE tell us?,multiple-choice,How many times it happens per year.,How much many percent of the asset is lost.,What will it cost us if it happens once.,What will it cost us per year if we do nothing.,,,4,Annualized Loss Expectancy (ALE) – This is what it cost per year if we do nothing.,CBK 1: Security and Risk Management
"With the CIA triad in mind, when we choose to have too much integrity, which other control will MOST LIKELY suffer?",multiple-choice,Confidentiality.,Availability.,Identity.,Accountability.,,,2,"Finding the right mix of Confidentiality, Integrity and Availability is a balancing act. This is really the cornerstone of IT Security – finding the RIGHT mix for your organization. Too much Integrity and the Availability can suffer.",CBK 1: Security and Risk Management
Which of these would NOT be a factor we would consider to protect our availability?,multiple-choice,Patch management.,Redundant hardware.,SLA's.,Non-redundant hardware.,,,4,"To ensure availability we use: IPS/IDS. Patch Management. Redundancy on Hardware Power (Multiple Power Supplies/UPS’/Generators), Disks (RAID), Traffic paths (Network Design), HVAC, Staff, HA (high availability) and much more. SLA’s – How high uptime to we want (99.9%?) – (ROI).",CBK 1: Security and Risk Management
Who would determine the risk appetite of our organization?,multiple-choice,Middle management.,The users.,Senior management.,The IT leadership team.,,,3,"Governance – This is C-level Executives they determine our risk appetite – Aggressive, neutral, adverse. Stakeholder needs, conditions and options are evaluated to define: Balanced agreed-upon enterprise objectives to be achieved. Setting direction through prioritization and decision making. Monitoring performance and compliance against agreed-upon direction and objectives.",CBK 1: Security and Risk Management
"Looking at the CIA triad, when we have TOO MUCH availability, which other controls can suffer?",multiple-choice,Confidence.,Integrity.,Confidentiality and Integrity.,Confidentiality.,,,3,Too much Availability and both the Confidentiality and Integrity can suffer.,CBK 1: Security and Risk Management
Which would NOT be a factor to protect our integrity?,multiple-choice,Missing database injection protection.,Digital signatures.,Message digests.,Database injection protection through input validation.,,,1,"Database injections would most likely compromise out confidentiality, not integrity. We would use digital signatures, MDs, and input validation to ensure out integrity.",CBK 1: Security and Risk Management
"When an attacker is using code injections, it is MOSTLY targeting which leg of the CIA triad?",multiple-choice,Authentication.,Confidentiality.,Availability.,Integrity.,,,4,"Code injections: code injected into user forms; often seen is SQL/LDAP; often used to compromise the integrity of our data. Our countermeasures should include: only allowing users to input appropriate data into the fields - only letters in names, numbers in phone number, dropdowns for country and state (if applicable); we limit how many characters people can use per cell, etc.",CBK 1: Security and Risk Management
"When authenticating against our access control systems, you present your fingerprint. Which type of authentication are you using?",multiple-choice,A possession factor.,A knowledge factor.,A biometric factor.,A location factor.,,,3,"Something you are - Type 3 Authentication (Biometrics): Fingerprint, iris scan, facial geometry etc., these are also called realistic authentication. The subject uses these to authenticate their identity, if they are that, they must be who they say they are. Something that is unique to you, this one comes with more issues than the two other common authentication factors.",CBK 1: Security and Risk Management
"In our risk analysis, we are looking at the risks, vulnerabilities, and threats. Which type of risk analysis are we using?",multiple-choice,Quadratic risk analysis.,Cumulative risk analysis.,Quantitative risk analysis.,Qualitative risk analysis.,,,3,"Quantitative Risk Analysis – What will it actually cost us in $? This is fact based analysis, total $ value of asset, math is involved, to quantify it we use Risk = Threat x Risk = Threat x Vulnerability.",CBK 1: Security and Risk Management
We are looking at our risk responses. We are choosing to ignore an identified risk. What type of response would that be?,multiple-choice,Risk transference.,Risk rejection.,Risk avoidance.,Risk mitigation.,,,2,"Risk Rejection – You know the risk is there, but you are ignoring it. This is never acceptable. (You are liable).",CBK 1: Security and Risk Management
"If we are using a qualitative risk analysis approach, which of these would we use?",multiple-choice,Risk analysis matrix.,Cost per incident.,Exposure factor.,Asset value.,,,1,"Qualitative Risk Analysis – How likely is it to happen and how bad is it if it happens? This is vague, guessing, a feeling and relatively quick to do. Most often done to know where to focus the Quantitative Risk Analysis.",CBK 1: Security and Risk Management
Which of these would be COMMON attacks focused on compromising our availability?,multiple-choice,DDOS.,Social engineering.,Viruses.,All of these,,,1,"For data availability we use: IPS/IDS. Patch Management. Redundancy on Hardware Power (Multiple Power Supplies/UPS’/Generators), Disks (RAID), Traffic paths (Network Design), HVAC, Staff, HA (high availability) and much more. SLA’s – How high uptime to we want (99.9%?) – (ROI) Threats: Malicious attacks (DDOS, physical, system compromise, staff, wireless jamming). Application failures (errors in the code). Component failure (hardware).",CBK 1: Security and Risk Management
We are considering how we should protect our intellectual property. Which of these do you need to apply for to be protected? (Select all that apply).,multi-select,Copyright.,Trademarks.,Patents.,Trade Secrets.,,,"2,3",Trademarks and patents are both something you need to apply for. Copyright is automatically granted and trade secrets are not granted since it is just you telling no-one about your secret formula or product.,CBK 1: Security and Risk Management
"We are in a court of law and the proof must be ""beyond a reasonable doubt"", which type of court are we in?",multiple-choice,Criminal court.,Civil court.,Administrative court.,Probation court.,,,1,"Criminal Law: “Society” is the victim and proof must be “beyond a reasonable doubt”. Incarceration, Death and Financial fines to “Punish and Deter”.",CBK 1: Security and Risk Management
"As an IT Security professional, you are expected to perform your due diligence. What does this mean?",multiple-choice,Researching and acquiring the knowledge to do your job right.,Do what is right in the situation and your job. Act on the knowledge.,Continue the security practices of your company.,Apply patches annually.,,,1,Due Diligence – The research to build the IT Security architecture of your organization. Best practices and common protection mechanisms. Research of new systems before implementing.,CBK 1: Security and Risk Management
